Item Class,Item Desc,Item Num,Item ID,Description,Is Tagged,Condition,Status,Purchase date,Cost,Checked Out To,Checked Out By,Check Out Date,Outing Name,Notes
STERI,Steri Pen Water,001,STERI-001,Steri pen,FALSE,Usable,Available,,,,,,,cr-123 batteries
AIDKT,First Aid Kit Outing,001,AIDKT-001,,FALSE,Usable,Available,,,,,,,need to inventory all of them
AIDKT,First Aid Kit Outing,002,AIDKT-002,,FALSE,,,,,,,,,
AIDKT,First Aid Kit Outing,003,AIDKT-003,,FALSE,,,,,,,,,
AIDKT,First Aid Kit Outing,004,AIDKT-004,,FALSE,,,,,,,,,
WBUCK,Water bucket,001,WBUCK-001,,FALSE,Usable,Available,,,,,,,
WT7G,7 gallon water container,001,WT7G-001,,FALSE,Usable,Available,,,,,,,
WT7G,7 gallon water container,002,WT7G-002,,FALSE,Usable,Available,,,,,,,
WT20L,20 liter collapsible water container,001,WT20L-001,,FALSE,Usable,Available,,,,,,,
WT20L,20 liter collapsible water container,002,WT20L-002,,FALSE,Usable,Available,,,,,,,
WT20L,20 liter collapsible water container,003,WT20L-003,,FALSE,Usable,Available,,,,,,,
WT20L,20 liter collapsible water container,004,WT20L-004,,FALSE,Usable,Available,,,,,,,
PROP,Refillable Propane,001,PROP-001,,FALSE,Usable,Available,,,,,,,
PROP,Refillable Propane,002,PROP-002,,FALSE,Usable,Available,,,,,,,
PROP,Refillable Propane,003,PROP-003,,FALSE,Usable,Available,,,,,,,
PROP,Refillable Propane,004,PROP-004,,FALSE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,007,STVBP-007,MSR dragonfly,FALSE,Not usable,Not available,,,,,,,out for refurbish by Fichou 9/13/25
STVBP,Stove - Backpacking,008,STVBP-008,MSR dragonfly,FALSE,Not usable,Not available,,,,,,,out for refurbish by Fichou 9/13/25
FUELL,Fuel Bottle - Large,010,FUELL-010,White gas fuel bottle,FALSE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,011,FUELL-011,White gas fuel bottle,FALSE,Usable,Available,,,,,,,
TENT,Tent,021,TENT-021,Half Dome 2,FALSE,Unknown,Available,,,,,,,gray
TENT,Tent,022,TENT-022,Half Dome 2+,FALSE,Unknown,Available,,,,,,,
TENT,Tent,023,TENT-023,Half Dome 2,FALSE,Unknown,Available,,,,,,,green
TENT,Tent,024,TENT-024,Half Dome 2,FALSE,Usable,Available,,,,,,,"green, small tear in bag"
BRCAN,Bear Can,003,BRCAN-003,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,013,BRCAN-013,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,014,BRCAN-014,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,015,BRCAN-015,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,016,BRCAN-016,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,017,BRCAN-017,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,018,BRCAN-018,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,019,BRCAN-019,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,020,BRCAN-020,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,021,BRCAN-021,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,022,BRCAN-022,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,023,BRCAN-023,Bear can,FALSE,Usable,Available,,,,,,,
BRCAN,Bear Can,001,BRCAN-001,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,002,BRCAN-002,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,004,BRCAN-004,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,005,BRCAN-005,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,006,BRCAN-006,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,007,BRCAN-007,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,008,BRCAN-008,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,009,BRCAN-009,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,010,BRCAN-010,Bear can gluten free,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,011,BRCAN-011,Bear can,TRUE,Usable,Available,,,,,,,
BRCAN,Bear Can,012,BRCAN-012,Bear can,TRUE,Usable,Available,,,,,,,
TENT,Tent,001,TENT-001,Zephyr 2,TRUE,Usable,Available,,,,,,,
TENT,Tent,002,TENT-002,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,003,TENT-003,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,004,TENT-004,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,005,TENT-005,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,006,TENT-006,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,007,TENT-007,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,008,TENT-008,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,009,TENT-009,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,010,TENT-010,Zephyr 3,TRUE,Usable,Available,,,,,,,
TENT,Tent,011,TENT-011,Half Dome 2,TRUE,Usable,Available,,,,,,,gray
TENT,Tent,012,TENT-012,Half Dome 2,TRUE,Usable,Available,,,,,,,gray
TENT,Tent,013,TENT-013,Half Dome 2,TRUE,Unknown,Available,,,,,,,green
TENT,Tent,014,TENT-014,Half Dome 2,TRUE,Unknown,Available,,,,,,,green
TENT,Tent,015,TENT-015,Half Dome 2,TRUE,Unknown,Available,,,,,,,green
TENT,Tent,016,TENT-016,Half Dome 2+,TRUE,Usable,Available,,,,,,,green
TENT,Tent,017,TENT-017,Half Dome 2,TRUE,Unknown,Available,,,,,,,gray
TENT,Tent,018,TENT-018,Half Dome 2,TRUE,Unknown,Available,,,,,,,gray
TENT,Tent,019,TENT-019,Half Dome 2,TRUE,Unknown,Available,,,,,,,green
TENT,Tent,020,TENT-020,REI Taj 3,TRUE,Unknown,Available,,,,,,,
FUELL,Fuel Bottle - Large,001,FUELL-001,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,002,FUELL-002,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,003,FUELL-003,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,004,FUELL-004,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,005,FUELL-005,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,006,FUELL-006,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,007,FUELL-007,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,008,FUELL-008,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELL,Fuel Bottle - Large,009,FUELL-009,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELS,Fuel Bottle - Small,001,FUELS-001,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELS,Fuel Bottle - Small,002,FUELS-002,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELS,Fuel Bottle - Small,003,FUELS-003,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
FUELS,Fuel Bottle - Small,004,FUELS-004,White gas fuel bottle,TRUE,Usable,Available,,,,,,,
ICEAX,Ice Axe,001,ICEAX-001,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,002,ICEAX-002,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,003,ICEAX-003,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,004,ICEAX-004,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,005,ICEAX-005,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,006,ICEAX-006,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,007,ICEAX-007,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,008,ICEAX-008,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,009,ICEAX-009,,FALSE,Usable,Available,,,,,,,
ICEAX,Ice Axe,010,ICEAX-010,,FALSE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,001,STVBP-001,MSR dragonfly,TRUE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,002,STVBP-002,MSR dragonfly,TRUE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,003,STVBP-003,MSR dragonfly,TRUE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,004,STVBP-004,MSR dragonfly,TRUE,Usable,Available,,,,,,,
STVBP,Stove - Backpacking,005,STVBP-005,MSR dragonfly,FALSE,Not usable,Not available,,,,,,,out for refurbish by Fichou 9/13/25
STVBP,Stove - Backpacking,006,STVBP-006,MSR dragonfly,FALSE,Not usable,Not available,,,,,,,out for refurbish by Fichou 9/13/25
AXE,Axe,001,AXE-001,,FALSE,Usable,Available,,,,,,,
AXE,Axe,002,AXE-002,,FALSE,Usable,Available,,,,,,,
HTCHT,Hatchet,001,HTCHT-001,,FALSE,Usable,Available,,,,,,,
HTCHT,Hatchet,002,HTCHT-002,,FALSE,Usable,Available,,,,,,,
DFLY,Dining Fly,001,DFLY-001,Kelty,TRUE,Usable,Available,,,,,,,
STVCC,Stove - Car Camping,001,STVCC-001,Coleman Gladiator Propane,TRUE,Usable,Available,,,,,,,
STVCC,Stove - Car Camping,002,STVCC-002,Coleman Gladiator Propane,TRUE,Usable,Available,,,,,,,
STVCC,Stove - Car Camping,003,STVCC-003,Coleman Powerhouse 414 Dual Fuel,TRUE,Usable,Available,,,,,,,
STVCC,Stove - Car Camping,004,STVCC-004,Coleman 424 Dual Fuel,TRUE,Usable,Available,,,,,,,
STVCC,Stove - Car Camping,005,STVCC-005,Coleman propane,FALSE,Unknown,Available,,,,,,,
CRATC,Collapsible Crate,001,CRATC-001,,FALSE,Usable,Available,,,,,,,
CRATC,Collapsible Crate,002,CRATC-002,,FALSE,Usable,Available,,,,,,,
BLOCKS,Wooden Blocks,001,BLOCKS-001,,FALSE,Usable,Available,,,,,,,
BLOCKS,Wooden Blocks,002,BLOCKS-002,,FALSE,Usable,Available,,,,,,,
LINCL,Lincoln Logs,001,LINCL-001,,FALSE,Usable,Available,,,,,,,
LINCL,Lincoln Logs,002,LINCL-002,,FALSE,Usable,Available,,,,,,,
LINCL,Lincoln Logs,003,LINCL-003,,FALSE,Usable,Available,,,,,,,
HACKY,Hackey Sacks,001,HACKY-001,,FALSE,Usable,Available,,,,,,,
WBALLS,Water Balls,001,WBALLS-001,,FALSE,Usable,Available,,,,,,,
DODGE,Dodge Balls,001,DODGE-001,inflatable balls,FALSE,Usable,Available,,,,,,,
SAW,Saw,001,SAW-001,Folding Saw,FALSE,Usable,Available,,,,,,,
SHOVL,Shovel,001,SHOVL-001,,FALSE,Usable,Available,,,,,,,
SHOVL,Shovel,002,SHOVL-002,,FALSE,Usable,Available,,,,,,,
SHOVL,Shovel,003,SHOVL-003,,FALSE,Usable,Available,,,,,,,
SHOVL,Shovel,004,SHOVL-004,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,001,TROWL-001,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,002,TROWL-002,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,003,TROWL-003,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,004,TROWL-004,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,005,TROWL-005,,FALSE,Usable,Available,,,,,,,
TROWL,Trowel,006,TROWL-006,,FALSE,Usable,Available,,,,,,,
WTRFL,Gravity Water Filter,001,WTRFL-001,Katadyn,TRUE,Usable,Available,,,,,,,
WTRFL,Gravity Water Filter,002,WTRFL-002,Katadyn,TRUE,Usable,Available,,,,,,,
FIREP,Fire Pan,001,FIREP-001,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,002,FIREP-002,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,003,FIREP-003,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,004,FIREP-004,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,005,FIREP-005,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,006,FIREP-006,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,007,FIREP-007,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,008,FIREP-008,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,009,FIREP-009,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,010,FIREP-010,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,011,FIREP-011,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,012,FIREP-012,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,013,FIREP-013,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,014,FIREP-014,,FALSE,Usable,Available,,,,,,,
FIREP,Fire Pan,015,FIREP-015,,FALSE,Usable,Available,,,,,,,
DUTCH,Dutch Oven,001,DUTCH-001,4qt 10in Dutch Oven,FALSE,Usable,Available,,,,,,,
DUTCH,Dutch Oven,002,DUTCH-002,4qt 10in Dutch Oven,FALSE,Usable,Available,,,,,,,
DUTCH,Dutch Oven,003,DUTCH-003,12inch Dutch Oven,FALSE,Usable,Available,,,,,,,
DUTCH,Dutch Oven,004,DUTCH-004,12inch Dutch Oven,FALSE,Usable,Available,,,,,,,
DUTCH,Dutch Oven,005,DUTCH-005,12inch Dutch Oven,FALSE,Usable,Available,,,,,,,
STONE,Sharpening Stones,001,STONE-001,Sharpening Stone,FALSE,Usable,Available,,,,,,,
STONE,Sharpening Stones,002,STONE-002,Sharpening Stone,FALSE,Usable,Available,,,,,,,
CHIMN,Coal Chimney,001,CHIMN-001,Charcoal chimney,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,001,STKIT-001,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,002,STKIT-002,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,003,STKIT-003,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,004,STKIT-004,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,005,STKIT-005,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,006,STKIT-006,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,007,STKIT-007,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,008,STKIT-008,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,009,STKIT-009,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,010,STKIT-010,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
STKIT,Stove Repair Kit,011,STKIT-011,MSR Stove Repair Kit,FALSE,Usable,Available,,,,,,,
ROPE,Rope,001,ROPE-001,Rope Box,FALSE,Usable,Available,,,,,,,
ROPE,Rope,002,ROPE-002,Rope Box,FALSE,Usable,Available,,,,,,,
MONK,Monkey Bridge,001,MONK-001,Monkey Bridge Ropes,FALSE,Usable,Available,,,,,,,loft
DODGE,Dodge Balls,002,DODGE-002,,FALSE,Usable,Available,,,,,,,loft
HELM,Climbing Helmet,001,HELM-001,,FALSE,Usable,Available,,,,,,,loft
HELM,Climbing Helmet,002,HELM-002,,FALSE,Usable,Available,,,,,,,loft
DUMMY,CPR Dummy,001,DUMMY-001,CPR First Aid Dummy,FALSE,Usable,Available,,,,,,,loft
AIDSU,First Aid Supplies,002,AIDSU-002,,FALSE,Usable,Available,,,,,,,
AIDIN,First Aid Instruction,003,AIDIN-003,,FALSE,Usable,Available,,,,,,,
COMP,Compass,001,COMP-001,,FALSE,Usable,Available,,,,,,,need to inventory all of them
GPS,GPS,001,GPS-001,,FALSE,Usable,Available,,,,,,,need to inventory all of them
FLFOT,Flag Football,001,FLFOT-001,,FALSE,Usable,Available,,,,,,,
LNTRN,Lantern,001,LNTRN-001,LED Lantern,FALSE,Usable,Available,,,,,,,
DOWL,Dowel Rods,001,DOWL-001,Dowels for lashings,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,001,BINER-001,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,002,BINER-002,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,003,BINER-003,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,004,BINER-004,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,005,BINER-005,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,006,BINER-006,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,007,BINER-007,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,008,BINER-008,Large Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,009,BINER-009,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,010,BINER-010,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,011,BINER-011,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,012,BINER-012,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,013,BINER-013,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,014,BINER-014,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,015,BINER-015,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,016,BINER-016,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,017,BINER-017,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
BINER,Carabiner,018,BINER-018,Climbing Carabiner,FALSE,Usable,Available,,,,,,,
FISH,Fishing Gear,001,FISH-001,Box of fishing gear,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",001,POTS-001,,FALSE,Usable,Available,,,,,,,need to inventory all items from here down
POTS,"Pots, various sizes",002,POTS-002,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",003,POTS-003,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",004,POTS-004,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",005,POTS-005,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",006,POTS-006,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",007,POTS-007,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",008,POTS-008,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",009,POTS-009,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",010,POTS-010,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",011,POTS-011,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",012,POTS-012,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",013,POTS-013,,FALSE,Usable,Available,,,,,,,
POTS,"Pots, various sizes",014,POTS-014,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",001,PANS-001,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",002,PANS-002,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",003,PANS-003,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",004,PANS-004,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",005,PANS-005,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",006,PANS-006,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",007,PANS-007,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",008,PANS-008,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",009,PANS-009,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",010,PANS-010,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",011,PANS-011,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",012,PANS-012,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",013,PANS-013,,FALSE,Usable,Available,,,,,,,
PANS,"Frying Pans, various sizes",014,PANS-014,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,001,WHISK-001,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,002,WHISK-002,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,003,WHISK-003,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,004,WHISK-004,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,005,WHISK-005,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,006,WHISK-006,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,007,WHISK-007,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,008,WHISK-008,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,009,WHISK-009,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,010,WHISK-010,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,011,WHISK-011,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,012,WHISK-012,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,013,WHISK-013,,FALSE,Usable,Available,,,,,,,
WHISK,Whisks,014,WHISK-014,,FALSE,Usable,Available,,,,,,,
SPATL,Rubber Spatula,001,SPATL-001,,FALSE,Usable,Available,,,,,,,
SPNSL,Slotted Spoon,001,SPNSL-001,,FALSE,Usable,Available,,,,,,,
SPOON,Cooking Spoon,001,SPOON-001,,FALSE,Usable,Available,,,,,,,
MEASS,Measure Spoon,001,MEASS-001,,FALSE,Usable,Available,,,,,,,
MEASC,Measuring Cup,001,MEASC-001,,FALSE,Usable,Available,,,,,,,
KTNKN,Kitchen Knife,001,KTNKN-001,,FALSE,Usable,Available,,,,,,,
CTBRD,Cutting Board,001,CTBRD-001,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,001,TARP-001,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,002,TARP-002,,FALSE,Usable,Available,,,,,,,
TARP,Tarps,003,TARP-003,,FALSE,Usable,Available,,,,,,,
BINS,Cleaning Bins,001,BINS-001,3 Cleaning Bins,FALSE,,,,,,,,,
CLEAN,Cleaning Bins,001,CLEAN-001,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,-,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,